KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-01,7.8639
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-02,7.9203
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-03,7.9567
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-04,7.9421
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-07,7.931
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-08,7.9115
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-09,7.9167
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-10,7.9254
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-11,7.9386
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-14,7.9588
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-15,7.9462
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-16,7.9633
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-17,8.0006
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-18,8.0146
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-21,7.9784
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-22,8.0056
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-23,7.9549
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-24,7.9624
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-28,7.9906
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-29,8.007
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-30,8.0134
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2020-12-31,8.0225
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-04,7.9484
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-05,7.9315
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-06,7.9653
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-07,7.9392
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-08,7.9184
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-11,7.8806
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-12,7.8576
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-13,7.8716
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-14,7.8409
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-15,7.8499
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-18,7.8359
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-19,7.861
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-20,7.8292
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-21,7.8552
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-22,7.8822
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-25,7.8712
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-26,7.8537
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-27,7.8411
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-28,7.8226
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-01-29,7.8047
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-02-01,7.8143
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-02-02,7.7756
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2021-02-03,7.7623
