category,name,qualified_name,contract_version,schema_path,sha256
config,project,crossmarket_agentgym.config.models.RootConfig,1.0,schemas/rc1/configs/project.schema.json,309efffc83b34c1041393cf429818fbb7bebd2905b8612b8a1409b2a391e2cf4
config,data_validation,crossmarket_agentgym.data.config.DataValidationConfig,1.0,schemas/rc1/configs/data_validation.schema.json,bb1a590e176efb83b913e0830e73dd938a03adc4045481e8d4a51a7e3b3cc2f5
config,environment_check,crossmarket_agentgym.environments.checks.EnvironmentCheckConfig,1.0,schemas/rc1/configs/environment_check.schema.json,fbb287c4a8d1e08dcb964dd6931a966e4d1428ec6caa00995f84ea82a91b6d7c
config,environment,crossmarket_agentgym.environments.config.EnvironmentConfig,1.0,schemas/rc1/configs/environment.schema.json,7e0ae3bc97c5c9ab226278fee1460ef2213207f132202d141be03e03cc2af80c
config,training,crossmarket_agentgym.rl.config.TrainRunConfig,1.0,schemas/rc1/configs/training.schema.json,612d50ce5500cadf049e72d10f3bec85cbf59fef99f6654ca1e2c7edc3e93f8e
config,provider_check,crossmarket_agentgym.agents.config.ProviderCheckConfig,1.0,schemas/rc1/configs/provider_check.schema.json,71a6fcfbba078ed6a21d646f691ac5a69406468b7ec7606aeb3acc8db1aee19c
config,agent_runtime,crossmarket_agentgym.agents.models.AgentRuntimeConfig,1.0,schemas/rc1/configs/agent_runtime.schema.json,33b8e60c8789941cacd07ac3d549a1d6140c004aa6ef87c159e4634f9053e7dd
config,three_layer_agent,crossmarket_agentgym.agents.layer_config.Phase7RunConfig,1.0,schemas/rc1/configs/three_layer_agent.schema.json,768348a0ff1c46b92b09383f095920c743f928172263608db84139f62bd5b114
config,tuning,crossmarket_agentgym.tuning.config.TuningRunConfig,1.0,schemas/rc1/configs/tuning.schema.json,8ddcc9423b35540f3eee6c0d25e2c0f338c226a162282ba57516b67522a064af
config,softwarex_reporting,crossmarket_agentgym.reporting.models.SoftwareXReportConfig,1.0,schemas/rc1/configs/softwarex_reporting.schema.json,9e02fc48e0853e66bbdf669bbe6d46ed7135c428bc03a84d3f814475240c7f64
config,report_service,crossmarket_agentgym.api.config.ServiceConfig,1.0,schemas/rc1/configs/report_service.schema.json,3133a6ccbe5bec955bf99c0fdf09bd9e7a41dd2565a6bc4aa98f1718f8950a7f
artifact,dataset_manifest,crossmarket_agentgym.data.manifests.models.DatasetManifest,1.0,schemas/rc1/artifacts/dataset_manifest.schema.json,0ff8429315f9c4fa2d141a8c857776be868dde98f987be3e7419dc2256e4f6aa
artifact,ohlcv_record,crossmarket_agentgym.data.schemas.ohlcv.OHLCVRecord,1.0,schemas/rc1/artifacts/ohlcv_record.schema.json,4c690c34184c7f412b9f960dc0abea362b6019909edc23143c36c763d3524eab
artifact,training_metadata,crossmarket_agentgym.rl.artifacts.TrainingMetadata,1.0,schemas/rc1/artifacts/training_metadata.schema.json,d52382feac5d80278176e4ac4751cf180355add3b4dbc8f5206953db556cc0c6
artifact,training_summary,crossmarket_agentgym.rl.workflow.TrainingRunSummary,1.0,schemas/rc1/artifacts/training_summary.schema.json,5fe927990290ff7e59193dc51669c1a4908eda1e43dbeac8954912d97bf434b1
artifact,evaluation_result,crossmarket_agentgym.evaluation.results.EvaluationResult,1.0,schemas/rc1/artifacts/evaluation_result.schema.json,66cac5c4b9fa40c155ce940af0f27864e7682a4f350f3b9f428446a942c6b3e8
artifact,provider_message,crossmarket_agentgym.agents.providers.models.Message,1.0,schemas/rc1/artifacts/provider_message.schema.json,522a8a4500527a74d211c2efd5069ce37d17c02f85dbba2a61dd335c3adc4af4
artifact,provider_response,crossmarket_agentgym.agents.providers.models.LLMResponse,1.0,schemas/rc1/artifacts/provider_response.schema.json,3ff79f8429888eb980dd7c18bba4947feec683025fab2dde4e053a5840e8c5d5
artifact,provider_replay,crossmarket_agentgym.agents.providers.replay.ReplayRecord,1.0,schemas/rc1/artifacts/provider_replay.schema.json,2aae1b01f64cef0a27a0763c23e5612224247eda7a46b3615da09819a0c12046
artifact,team_result,crossmarket_agentgym.agents.models.TeamRunResult,1.0,schemas/rc1/artifacts/team_result.schema.json,004766322856012d2de7cd3f886055d405c15216a41c34fcaa0f319163f98795
artifact,directive_record,crossmarket_agentgym.audit.directives.DirectiveRecord,1.0,schemas/rc1/artifacts/directive_record.schema.json,1efd504a3c642767b532cf1cac449050c7e1af9bd1ea7b68c5205bc174241522
artifact,phase7_summary,crossmarket_agentgym.agents.layer_stack.Phase7RunSummary,1.0,schemas/rc1/artifacts/phase7_summary.schema.json,4367998a8849d512e487f91a5f71b2b66246cb5bc318c2c4721fcd87b65d60c2
